GO Highest Offense Desc,GO X Coordinate,GO Y Coordinate
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
AGG ROBBERY/DEADLY WEAPON     ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF COIN-OP MACHINE   ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF COIN-OP MACHINE   ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT OF BICYCLE              ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
AGG ASSAULT                   ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT FROM BUILDING           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT FROM AUTO               ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT                         ,3121345,10082705
AUTO THEFT                    ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURG NON RESIDENCE SHEDS      ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT FROM AUTO               ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY NON RESIDENCE        ,3121345,10082705
THEFT                         ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
AGG ROBBERY/DEADLY WEAPON     ,3121345,10082705
AGG ASLT STRANGLE/SUFFOCATE   ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
BURGLARY NON RESIDENCE        ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT                         ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
ROBBERY BY ASSAULT            ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
THEFT BY SHOPLIFTING          ,3121345,10082705
BURGLARY NON RESIDENCE        ,3121345,10082705
BURGLARY OF VEHICLE           ,3121345,10082705
THEFT OF METAL                ,3117396,10069124
THEFT                         ,3124092,10087022
THEFT                         ,3117671,10069478
THEFT                         ,3117671,10069478
THEFT OF BICYCLE              ,3117671,10069478
THEFT OF BICYCLE              ,3117671,10069478
THEFT                         ,3117671,10069478
THEFT OF BICYCLE              ,3117671,10069478
BURGLARY OF VEHICLE           ,3117671,10069478
THEFT OF BICYCLE              ,3117671,10069478
BURGLARY OF VEHICLE           ,3117671,10069478
BURGLARY OF VEHICLE           ,3117646,10069793
BURGLARY OF VEHICLE           ,3117882,10070148
AGG ASLT STRANGLE/SUFFOCATE   ,3117882,10070148
THEFT                         ,3128060,10096386
ROBBERY BY ASSAULT            ,3127671,10093787
AGG ASSAULT                   ,3124364,10071444
AUTO THEFT                    ,3125583,10104533
THEFT FROM PERSON             ,3125583,10104533
BURGLARY OF VEHICLE           ,3124669,10103148
THEFT                         ,3129395,10112037
BURGLARY OF VEHICLE           ,3116498,10071632
THEFT FROM PERSON             ,3116498,10071632
THEFT FROM PERSON             ,3116498,10071632
THEFT FROM PERSON             ,3116498,10071632
THEFT FROM PERSON             ,3116498,10071632
THEFT FROM PERSON             ,3116498,10071632
THEFT FROM PERSON             ,3116498,10071632
AUTO THEFT                    ,3117902,10071207
BURGLARY NON RESIDENCE        ,3117902,10071207
BURGLARY OF VEHICLE           ,3117902,10071207
THEFT OF BICYCLE              ,3117902,10071207
THEFT OF BICYCLE              ,3117902,10071207
THEFT                         ,3117902,10071207
THEFT                         ,3117902,10071207
AUTO THEFT                    ,3117902,10071207
THEFT                         ,3117902,10071207
THEFT OF BICYCLE              ,3117902,10071207
BURGLARY OF VEHICLE           ,3117902,10071207
BURGLARY OF VEHICLE           ,3117902,10071207
BURGLARY OF VEHICLE           ,3117902,10071207
THEFT                         ,3117902,10071207
THEFT FROM PERSON             ,3117902,10071207
THEFT                         ,3117902,10071207
BURGLARY OF VEHICLE           ,3117902,10071207
THEFT OF BICYCLE              ,3117902,10071207
BURGLARY OF VEHICLE           ,3109947,10074009
ROBBERY BY ASSAULT            ,3122675,10061799
AGG ROBBERY/DEADLY WEAPON     ,3122675,10061799
THEFT FROM PERSON             ,3115817,10071834
BURGLARY OF VEHICLE           ,3115817,10071834
BURGLARY OF VEHICLE           ,3112502,10078595
THEFT OF BICYCLE              ,3112533,10079103
BURGLARY OF VEHICLE           ,3112533,10079103
BURGLARY OF VEHICLE           ,3112533,10079103
BURGLARY OF VEHICLE           ,3112533,10079103
THEFT BY SHOPLIFTING          ,3114603,10085660
BURGLARY OF VEHICLE           ,3110950,10068914
BURGLARY OF VEHICLE           ,3127035,10106225
BURGLARY OF VEHICLE           ,3127035,10106225
THEFT                         ,3127035,10106225
THEFT OF HEAVY EQUIPMENT      ,3094049,10036104
THEFT                         ,3094982,10135595
BURG NON RESIDENCE SHEDS      ,3086871,10036163
BURGLARY OF VEHICLE           ,3086871,10036163
BURGLARY OF VEHICLE           ,3114586,10115340
BURGLARY OF VEHICLE           ,3114586,10115340
BURGLARY OF VEHICLE           ,3114586,10115340
BURGLARY NON RESIDENCE        ,3114574,10115482
BURGLARY OF VEHICLE           ,3114574,10115482
BURGLARY OF VEHICLE           ,3114574,10115482
BURGLARY OF VEHICLE           ,3114574,10115482
THEFT                         ,3128951,10108110
THEFT OF BICYCLE              ,3114834,10115974
THEFT OF BICYCLE              ,3114834,10115974
THEFT OF BICYCLE              ,3114834,10115974
BURG NON RESIDENCE SHEDS      ,3114834,10115974
AUTO THEFT                    ,3080954,10038480
THEFT                         ,3103842,10027539
THEFT                         ,3098734,10142841
AGG ASLT STRANGLE/SUFFOCATE   ,3098734,10142841
AGG ASLT STRANGLE/SUFFOCATE   ,3098734,10142841
THEFT                         ,3098734,10142841
THEFT                         ,3098734,10142841
BURGLARY OF RESIDENCE         ,3098734,10142841
AUTO THEFT                    ,3100723,10029308
BURGLARY NON RESIDENCE        ,3100192,10029092
BURGLARY OF VEHICLE           ,3119763,10095206
THEFT OF METAL                ,3098359,10043152
BURGLARY OF RESIDENCE         ,3134897,10108726
BURGLARY OF RESIDENCE         ,3134897,10108726
BURGLARY OF VEHICLE           ,3134897,10108726
THEFT                         ,3134897,10108726
THEFT                         ,3134897,10108726
BURGLARY OF VEHICLE           ,3134897,10108726
AGG ASSAULT                   ,3134897,10108726
THEFT FROM BUILDING           ,3114855,10072142
THEFT OF LICENSE PLATE        ,3120755,10080925
BURGLARY NON RESIDENCE        ,3110941,10052010
THEFT                         ,3110941,10052010
BURGLARY NON RESIDENCE        ,3110941,10052010
AGG ASSAULT                   ,3111103,10052022
BURGLARY NON RESIDENCE        ,3111103,10052022
THEFT                         ,3128813,10110726
THEFT OF BICYCLE              ,3107505,10066742
BURGLARY OF RESIDENCE         ,3119535,10094600
THEFT                         ,3124545,10103053
BURGLARY OF RESIDENCE         ,3126657,10105308
BURGLARY OF VEHICLE           ,3105852,10068050
AUTO THEFT                    ,3125896,10107319
AGG ASSAULT                   ,3125896,10107319
BURGLARY OF VEHICLE           ,3111230,10065404
BURGLARY OF VEHICLE           ,3111230,10065404
THEFT                         ,3100392,10047865
THEFT                         ,3087859,10076945
BURGLARY OF VEHICLE           ,3133811,10105865
THEFT                         ,3129732,10112969
BURGLARY OF VEHICLE           ,3095557,10038734
THEFT                         ,3108889,10074628
BURGLARY NON RESIDENCE        ,3108889,10074628
THEFT                         ,3108889,10074628
THEFT                         ,3136798,10127339
BURGLARY OF VEHICLE           ,3100878,10029411
BURGLARY OF VEHICLE           ,3133491,10106192
THEFT                         ,3133353,10106077
BURGLARY OF VEHICLE           ,3115009,10115653
BURGLARY OF VEHICLE           ,3115009,10115653
THEFT                         ,3089453,10034727
BURGLARY NON RESIDENCE        ,3089453,10034727
THEFT                         ,3097973,10031889
AGG ASSAULT FAM/DATE VIOLENCE ,3133155,10105626
THEFT                         ,3112356,10079121
AGG ASLT STRANGLE/SUFFOCATE   ,3133258,10106316
THEFT                         ,3133258,10106316
BURGLARY OF RESIDENCE         ,3109520,10159232
AUTO THEFT                    ,3133209,10106347
BURGLARY OF VEHICLE           ,3103471,10151932
BURG NON RESIDENCE SHEDS      ,3096087,10137484
BURGLARY OF VEHICLE           ,3096087,10137484
THEFT OF AUTO PARTS           ,3091247,10034241
BURGLARY OF VEHICLE           ,3137478,10112286
THEFT                         ,3131982,10103301
BURGLARY NON RESIDENCE        ,3093981,10035807
BURGLARY OF VEHICLE           ,3120651,10080684
THEFT FROM AUTO               ,3128739,10110742
THEFT OF LICENSE PLATE        ,3120345,10096167
BURGLARY OF VEHICLE           ,3120345,10096167
THEFT                         ,3120345,10096167
BURGLARY OF VEHICLE           ,3120345,10096167
THEFT OF BICYCLE              ,3120345,10096167
BREACH OF COMPUTER SECURITY   ,3120345,10096167
BURGLARY NON RESIDENCE        ,3120345,10096167
THEFT OF BICYCLE              ,3109630,10074252
THEFT OF LICENSE PLATE        ,3119851,10095566
BURGLARY OF VEHICLE           ,3126018,10107207
BURGLARY OF RESIDENCE         ,3130088,10057996
AGG ASLT STRANGLE/SUFFOCATE   ,3130088,10057996
BURGLARY OF VEHICLE           ,3130316,10057821
THEFT                         ,3112557,10078930
AUTO THEFT                    ,3112557,10078930
BURGLARY OF RESIDENCE         ,3128787,10111091
BURGLARY NON RESIDENCE        ,3108633,10025117
AUTO THEFT                    ,3127675,10108816
BURGLARY OF VEHICLE           ,3127941,10109332
THEFT OF BICYCLE              ,3105720,10067789
BURGLARY OF RESIDENCE         ,3094742,10037745
THEFT                         ,3118541,10071909
BURGLARY OF RESIDENCE         ,3106816,10059341
THEFT                         ,3123832,10070864
BURGLARY NON RESIDENCE        ,3112202,10073099
THEFT                         ,3113682,10116645
BURGLARY OF VEHICLE           ,3113682,10116645
THEFT OF BICYCLE              ,3113682,10116645
THEFT OF BICYCLE              ,3113682,10116645
AUTO THEFT                    ,3113682,10116645
BURGLARY OF VEHICLE           ,3113682,10116645
BURGLARY OF VEHICLE           ,3113682,10116645
BURGLARY OF RESIDENCE         ,3099388,10046068
BURG NON RESIDENCE SHEDS      ,3124088,10086876
BURGLARY OF VEHICLE           ,3134509,10107289
THEFT                         ,3107448,10066749
AGG ASSAULT FAM/DATE VIOLENCE ,3138427,10114601
AGG ASSAULT FAM/DATE VIOLENCE ,3119787,10095598
AUTO THEFT                    ,3129383,10070279
THEFT                         ,3129383,10070279
THEFT                         ,3130064,10057954
THEFT                         ,3130064,10057954
AUTO THEFT                    ,3130064,10057954
BURGLARY OF RESIDENCE         ,3128894,10111589
BURGLARY OF RESIDENCE         ,3101058,10049258
AGG ASSAULT                   ,3101058,10049258
AUTO THEFT                    ,3104654,10056527
BURGLARY OF VEHICLE           ,3104654,10056527
BURGLARY OF VEHICLE           ,3104654,10056527
BURGLARY OF VEHICLE           ,3104654,10056527
BURGLARY OF VEHICLE           ,3104654,10056527
THEFT OF LICENSE PLATE        ,3104654,10056527
BURGLARY OF VEHICLE           ,3104654,10056527
THEFT OF BICYCLE              ,3104654,10056527
AGG ASLT STRANGLE/SUFFOCATE   ,3127625,10108842
THEFT OF LICENSE PLATE        ,3097983,10044117
THEFT                         ,3114627,10072257
THEFT                         ,3101786,10051611
BURGLARY OF VEHICLE           ,3139640,10116240
THEFT FROM AUTO               ,3139640,10116240
THEFT                         ,3139640,10116240
BURGLARY OF RESIDENCE         ,3107333,10061211
BURGLARY OF VEHICLE           ,3095075,10038246
BURGLARY OF RESIDENCE         ,3139693,10116759
AUTO THEFT                    ,3115018,10062104
AGG ASLT STRANGLE/SUFFOCATE   ,3098560,10044684
THEFT                         ,3121409,10081820
BURGLARY OF RESIDENCE         ,3132082,10103006
BURGLARY OF VEHICLE           ,3132082,10103006
BURGLARY OF VEHICLE           ,3132082,10103006
THEFT OF BICYCLE              ,3132082,10103006
AGG ASLT STRANGLE/SUFFOCATE   ,3132082,10103006
THEFT FROM AUTO               ,3132082,10103006
AUTO THEFT                    ,3132082,10103006
BURGLARY OF RESIDENCE         ,3132082,10103006
THEFT                         ,3132082,10103006
AGG ASSAULT                   ,3132082,10103006
BURGLARY OF RESIDENCE         ,3098324,10044328
BURGLARY OF RESIDENCE         ,3126464,10105456
THEFT OF BICYCLE              ,3113071,10065639
THEFT OF BICYCLE              ,3113071,10065639
THEFT OF BICYCLE              ,3113071,10065639
THEFT FROM AUTO               ,3113071,10065639
THEFT OF BICYCLE              ,3113071,10065639
THEFT OF BICYCLE              ,3113071,10065639
THEFT                         ,3113071,10065639
THEFT OF BICYCLE              ,3113071,10065639
THEFT OF LICENSE PLATE        ,3113071,10065639
